trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.005, 'e': 0.689498432951747}",20,0,-20.378245037022882,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
164,False,"{'a': 0.005, 'e': 0.6858683934567373}",20,3,-60.25144524832922,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
165,False,"{'a': 0.005, 'e': 0.6822212072876135}",35,0,-231.23595970234413,"{0: 21, 1: 1, 2: 9, 3: 0, 4: 4}",0
166,False,"{'a': 0.005, 'e': 0.6785569656238398}",20,0,-99.45688057067896,"{0: 14, 1: 1, 2: 1, 3: 3, 4: 1}",0
167,False,"{'a': 0.005, 'e': 0.674875760071267}",20,3,-30.130785604581124,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1
168,False,"{'a': 0.005, 'e': 0.6711776826598423}",30,1,-54.4816786922031,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 1}",1
169,False,"{'a': 0.005, 'e': 0.6674628258413081}",25,0,-5.450150905501157,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.005, 'e': 0.6637312824868916}",20,0,-65.40328293098872,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
171,False,"{'a': 0.005, 'e': 0.6599831458849822}",20,9,-58.09626925297824,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
172,False,"{'a': 0.005, 'e': 0.6562185097387998}",20,13,-29.66848428344003,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.005, 'e': 0.6524374681640519}",20,6,-38.53087081929662,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
174,False,"{'a': 0.005, 'e': 0.648640115686581}",35,16,-39.492826663113924,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
175,False,"{'a': 0.005, 'e': 0.6448265472400012}",30,13,-48.89287441376634,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
176,False,"{'a': 0.005, 'e': 0.6409968581633251}",25,11,3.614632847454676,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.005, 'e': 0.6371511441985802}",25,2,-69.71994831882981,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
